id,id_author,id_tweet,text,label,moralbert,roberta_mmp,roberta_mm,liwc_mfd,persp_bert,human_annot,moral_label,moral_label_polarity,moral_label2
4274,15627816,974721465,@utahron ??? Given the debt we are in..duh even Obama himself said that we cant do all the things he would like to..and??,pos,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,no moral,nonmoral
4275,15627816,936562323,TELL IT OBAMA #current,pos,authority,purity,nonmoral,nonmoral,authority,nonmoral,authority,authority,nonmoral
4286,15638869,936709280,@rebeccakelley ...like obama deflecting how he'd cut spendiing based on financial crisis ;-),neg,authority,nonmoral,nonmoral,nonmoral,care,nonmoral,nonmoral,authority,nonmoral
4287,15638869,1162341786,"Spot-on: Peggy Noonan on Porkulus bill http://bit.ly/4wp5JD : Congress doesn't know it's crisis-time, Obama's brand oversaturated  #tcot",neg,authority,nonmoral,nonmoral,nonmoral,authority,authority,authority,authority,nonmoral
4290,15638869,179316271899348992,2004: Dems want Bush kicked out 4 bad economy.  2012: Dems want Obama re-elected 4 worse economy. http://t.co/Ipezv1rU #tcot,neg,authority,authority,nonmoral,nonmoral,fairness,authority,authority,authority,authority
4296,15664760,117067953521954817,Watching the debate / Who will you vote for next year? / Obama must go. #gopdebate #debatehaiku @twitclark @davidkanevsky,neg,authority,authority,nonmoral,nonmoral,care,authority,authority,authority,authority
4516,15769246,2185080655,"Oh, living in texas. Q: why is obama putting a $.40 tax on asprin. A: 'cause it's white and it works. Via rascist stepfather.",neg,fairness,fairness,fairness,nonmoral,fairness,fairness,fairness,cheating,fairness
4517,15769246,1751590503,Wanda sykes' limbaugh joke was so effing good. Best part of her bit for sure. I still can't believe how good obama was. #nerdprom #whca,neg,nonmoral,nonmoral,fairness,nonmoral,fairness,nonmoral,fairness,no moral,nonmoral
4520,15769246,1751260809,OBAMA IS FUCKING KILLING AT THE WHITE HOUSE CORRESPONDENTS DINNER!,neg,nonmoral,care,care,nonmoral,loyalty,care,care,no moral,care
4601,15887542,27803043093,Hasn't the episode of Mythbusters in which Obama will appear already been done before?,neg,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,nonmoral,no moral,nonmoral
4602,15887542,19948338542,Watching Hasselbeck interrogate Obama is like watching a seagull dive-bomb a walking pod from _War of the Worlds_.,neg,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
4632,15907731,990433014,I just voted for Obama in #TwitVote -- http://twitvote.twitmarks.com/,pos,nonmoral,nonmoral,loyalty,nonmoral,loyalty,loyalty,loyalty,no moral,nonmoral
4691,15975726,936641974,+5 Obama for talk on energy  #tweetdebate,pos,authority,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral
4693,15975726,955065284,How about follow Obama @qwertygod,pos,nonmoral,nonmoral,nonmoral,nonmoral,authority,loyalty,nonmoral,no moral,nonmoral
4694,15975726,936731935,Obama did very well  #debate08,pos,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
4717,15989194,1356732350,"watching Obama's speech, reading assigned chapter on income taxes. Ironic?",neg,purity,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,degradation,nonmoral
4718,15989194,985663704,I just voted for Obama in #TwitVote -- http://twitvote.twitmarks.com/,pos,nonmoral,nonmoral,loyalty,nonmoral,loyalty,loyalty,loyalty,no moral,nonmoral
4719,15989194,936674490,reaction to the debate: Obama acquitted himself well. He was very gracious when McCain tried to talk over him.,pos,authority,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral
4854,16083312,936577970,"#debate08 When McCain is flat out LYING in a debate, what do you expect Obama to do go along with it? I'd be kind of bent too.",pos,nonmoral,authority,nonmoral,nonmoral,loyalty,purity,nonmoral,no moral,nonmoral
4855,16083312,936551774,"#debate08 +1 Obama ""We took our eye off the ball.""",pos,nonmoral,authority,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
4856,16103584,251340986016493568,"Samuel L. Jackson to Obama Supporters: ""Wake the F*ck Up"" http://t.co/Lz0ATgrg",pos,nonmoral,fairness,nonmoral,nonmoral,nonmoral,purity,nonmoral,no moral,nonmoral
4858,16103584,253683870006910977,@geftweets @RachelPerrone It's like Obama gave up this evening. Even he is over #election2012,pos,nonmoral,nonmoral,fairness,nonmoral,fairness,nonmoral,fairness,no moral,nonmoral
4859,16103584,184327683637911553,New #election2012 video: @GloriaSteinem Urges Us to Get Off Our Asses and Campaign/Vote for @BarackObama http://t.co/e3puhYjQ,pos,authority,fairness,fairness,nonmoral,loyalty,nonmoral,fairness,authority,fairness
5196,16479015,936675384,"@debate08 love it when ppl compare obama and palin experience, never seen a pres candidate running against the vp before this year.",neg,nonmoral,nonmoral,nonmoral,care,fairness,nonmoral,nonmoral,no moral,nonmoral
5198,16479015,195375051112062976,RT @kesgardner: Wait....Obama wants the Labor Department to regulate family chores? Am I understanding this right? #communism,neg,nonmoral,nonmoral,nonmoral,loyalty,fairness,care,nonmoral,no moral,nonmoral
5200,16479015,124019617382416384,"So, Obama, Reid, and Boener all concede. They ask, what do you want? Now, who the hell has the authority to speak for a horizontal mob? #ows",neg,authority,authority,authority,purity,loyalty,purity,authority,subversion,authority
